amritsar,ranchi,1563
amritsar,shillong,2404
amritsar,shimla,278
amritsar,surat,1504
amritsar,trivandrum,2335
amritsar,varanasi,1130
amritsar,vijayawada,2039
amritsar,vishakapatnam,2207
asansol,agartala,2016
asansol,agra,1019
asansol,ahmedabad,1659
asansol,allahabad,737
asansol,amritsar,1629
asansol,asansol,0
asansol,bangalore,1580
asansol,baroda,1713
asansol,bhopal,1314
asansol,bhubaneshwar,463
asansol,bombay,1724
asansol,calcutta,166
asansol,calicut,1716
asansol,chandigarh,1390
asansol,cochin,1938
asansol,coimbatore,1913
asansol,delhi,1202
asansol,gwalior,1009
asansol,hubli,1330
asansol,hyderabad,1507
asansol,imphal,1869
asansol,indore,1334
asansol,jabalpur,1071
asansol,jaipur,1244
asansol,jamshedpur,434
asansol,jullundur,1544
asansol,kanpur,729
asansol,kolhapur,1394
asansol,lucknow,765
asansol,ludhiana,1495
asansol,madras,1670
asansol,madurai,2012
asansol,meerut,1218
asansol,nagpur,1062
asansol,nasik,1686
asansol,panjim,1140
asansol,patna,335
asansol,pondicherry,1814
asansol,pune,1641
asansol,ranchi,580
asansol,shillong,1354
asansol,shimla,1424
asansol,surat,1811
asansol,trivandrum,1932
asansol,varanasi,615
asansol,vijayawada,1238
asansol,vishakapatnam,908
bangalore,agartala,3217
bangalore,agra,1621
bangalore,ahmedabad,1335
bangalore,allahabad,1345
bangalore,amritsar,2097
bangalore,asansol,1580
bangalore,bangalore,0
bangalore,baroda,1216
bangalore,bhopal,1088
bangalore,bhubaneshwar,1352
bangalore,bombay,850
bangalore,calcutta,1354
bangalore,calicut,460
bangalore,chandigarh,1898
bangalore,cochin,452
bangalore,coimbatore,273
bangalore,delhi,1654
bangalore,gwalior,1635
bangalore,hubli,331
bangalore,hyderabad,503
bangalore,imphal,3071
bangalore,indore,1279
bangalore,jabalpur,1236
bangalore,jaipur,1391
bangalore,jamshedpur,1622
bangalore,jullundur,2029
bangalore,kanpur,1538
bangalore,kolhapur,424
bangalore,lucknow,1579
bangalore,ludhiana,1961
bangalore,madras,271
bangalore,madurai,372
bangalore,meerut,1718
bangalore,nagpur,979
bangalore,nasik,880
bangalore,panjim,380
bangalore,patna,1747
bangalore,pondicherry,268
bangalore,pune,671
bangalore,ranchi,1768
bangalore,shillong,1812
bangalore,shimla,1997
bangalore,surat,1083
bangalore,trivandrum,636
bangalore,varanasi,1692
bangalore,vijayawada,577
bangalore,vishakapatnam,1033
baroda,agartala,3203
baroda,agra,910
baroda,ahmedabad,59
baroda,allahabad,1122
baroda,amritsar,1360
baroda,asansol,1713
baroda,bangalore,1216
baroda,baroda,0
baroda,bhopal,510
baroda,bhubaneshwar,1544
baroda,bombay,373
baroda,calcutta,1552
baroda,calicut,1469
baroda,chandigarh,1121
baroda,cochin,1666
baroda,coimbatore,1490
baroda,delhi,970
baroda,gwalior,816
baroda,hubli,922
baroda,hyderabad,1030
baroda,imphal,3056
baroda,indore,319
baroda,jabalpur,960
baroda,jaipur,707
baroda,jamshedpur,1284
baroda,jullundur,1275
baroda,kanpur,1008
baroda,kolhapur,732
baroda,lucknow,1087
baroda,ludhiana,1226
baroda,madras,1547
baroda,madurai,1648
baroda,meerut,1034
baroda,nagpur,714
baroda,nasik,397
baroda,panjim,957
baroda,patna,1522
baroda,pondicherry,1544
baroda,pune,485
baroda,ranchi,1652
baroda,shillong,2339
baroda,shimla,1220
baroda,surat,322
baroda,trivandrum,1749
baroda,varanasi,1244
baroda,vijayawada,1299
baroda,vishakapatnam,1624
bhopal,agartala,2637
bhopal,agra,722
bhopal,ahmedabad,463
bhopal,allahabad,718
bhopal,amritsar,1127
bhopal,asansol,1314
bhopal,bangalore,1088
bhopal,baroda,510
bhopal,bhopal,0
bhopal,bhubaneshwar,1102
bhopal,bombay,718
bhopal,calcutta,1435
bhopal,calicut,1608
bhopal,chandigarh,928
bhopal,cochin,1600
bhopal,coimbatore,1421
bhopal,delhi,682
bhopal,gwalior,628
bhopal,hubli,1191
bhopal,hyderabad,748
bhopal,imphal,2490
bhopal,indore,131
bhopal,jabalpur,549
bhopal,jaipur,536
bhopal,jamshedpur,1392
bhopal,jullundur,1057
bhopal,kanpur,525
bhopal,kolhapur,1001
bhopal,lucknow,604
bhopal,ludhiana,992
bhopal,madras,1419
bhopal,madurai,1520
bhopal,meerut,748
bhopal,nagpur,292
bhopal,nasik,545
bhopal,panjim,1083
bhopal,patna,956
bhopal,pondicherry,1416
bhopal,pune,754
bhopal,ranchi,1248
bhopal,shillong,1975
bhopal,shimla,1027
bhopal,surat,726
bhopal,trivandrum,1784
bhopal,varanasi,840
bhopal,vijayawada,1017
bhopal,vishakapatnam,1202
bhubaneshwar,agartala,2226
bhubaneshwar,agra,1513
bhubaneshwar,ahmedabad,1587
bhubaneshwar,allahabad,1030
bhubaneshwar,amritsar,2098
bhubaneshwar,asansol,463
bhubaneshwar,bangalore,1352
bhubaneshwar,baroda,1544
bhubaneshwar,bhopal,1102
bhubaneshwar,bhubaneshwar,0
bhubaneshwar,bombay,1618
bhubaneshwar,calcutta,363
bhubaneshwar,calicut,1862
bhubaneshwar,chandigarh,1884
bhubaneshwar,cochin,1768
bhubaneshwar,coimbatore,1573
bhubaneshwar,delhi,1653
bhubaneshwar,gwalior,1426
bhubaneshwar,hubli,1470
bhubaneshwar,hyderabad,984
bhubaneshwar,imphal,2079
bhubaneshwar,indore,1215
bhubaneshwar,jabalpur,1027
bhubaneshwar,jaipur,1620
bhubaneshwar,jamshedpur,362
bhubaneshwar,jullundur,2028
bhubaneshwar,kanpur,1223
bhubaneshwar,kolhapur,1562
bhubaneshwar,lucknow,1194
bhubaneshwar,ludhiana,1963
bhubaneshwar,madras,1147
bhubaneshwar,madurai,1627
bhubaneshwar,meerut,1647
bhubaneshwar,nagpur,770
bhubaneshwar,nasik,1456
bhubaneshwar,panjim,1337
bhubaneshwar,patna,802
bhubaneshwar,pondicherry,1313
bhubaneshwar,pune,1527
bhubaneshwar,ranchi,500
bhubaneshwar,shillong,1580
bhubaneshwar,shimla,1853
bhubaneshwar,surat,1519
bhubaneshwar,trivandrum,1893
bhubaneshwar,varanasi,908
bhubaneshwar,vijayawada,715
bhubaneshwar,vishakapatnam,385
bombay,agartala,3361
bombay,agra,1120
bombay,ahmedabad,492
bombay,allahabad,1292
bombay,amritsar,1640
bombay,asansol,1724
bombay,bangalore,850
bombay,baroda,373
bombay,bhopal,718
bombay,bhubaneshwar,1618
bombay,bombay,0
bombay,calcutta,1498
bombay,calicut,1100
bombay,chandigarh,1441
bombay,cochin,1300
bombay,coimbatore,1129
bombay,delhi,1197
bombay,gwalior,1025
bombay,hubli,554
bombay,hyderabad,669
bombay,imphal,3215
bombay,indore,529
bombay,jabalpur,1046
bombay,jaipur,934
bombay,jamshedpur,1717
bombay,jullundur,1572
bombay,kanpur,1218
bombay,kolhapur,366
bombay,lucknow,1297
bombay,ludhiana,1504
bombay,madras,1181
bombay,madurai,1282
bombay,meerut,1261
bombay,nagpur,789
bombay,nasik,137
bombay,panjim,524
bombay,patna,1694
bombay,pondicherry,1178
bombay,pune,124
bombay,ranchi,1747
bombay,shillong,1978
bombay,shimla,1540
bombay,surat,241
bombay,trivandrum,1316
bombay,varanasi,1454
bombay,vijayawada,913
bombay,vishakapatnam,1268
calcutta,agartala,1803
calcutta,agra,1240
calcutta,ahmedabad,1433
calcutta,allahabad,757
calcutta,amritsar,1825
calcutta,asansol,166
calcutta,bangalore,1354
calcutta,baroda,1552
calcutta,bhopal,1435
calcutta,bhubaneshwar,363
calcutta,bombay,1498
calcutta,calcutta,0
calcutta,calicut,1490
calcutta,chandigarh,1611
calcutta,cochin,1712
calcutta,coimbatore,1687
calcutta,delhi,1380
calcutta,gwalior,1164
calcutta,hubli,1104
calcutta,hyderabad,1407
calcutta,imphal,1657
calcutta,indore,1548
calcutta,jabalpur,1107
calcutta,jaipur,1467
calcutta,jamshedpur,208
calcutta,jullundur,1755
calcutta,kanpur,950
calcutta,kolhapur,1168
calcutta,lucknow,921
calcutta,ludhiana,1690
calcutta,madras,1570
calcutta,madurai,1786
calcutta,meerut,1374
calcutta,nagpur,1103
calcutta,nasik,1615
